edge_id,road_name,road_class,road_surface,lanes,highway_rt,length_feature_m,length_calc_m,from,to,elev_from,geometry.x,elev_to,geometry.y,elev_diff,slope,length_3d_m
2645978,Pitcairn Crt,local,paved,2,NA,50.5641,50.56413545138446,4891,4890,1743,"c(1469307.5, 564240)",1742,"c(1469305.5, 564190)",-1,-0.019776863404724142,50.57402291637432
2645979,Tronson Crt,local,paved,2,NA,180.5201,180.52007341778108,4894,4829,1744,"c(1469311, 564322)",1713,"c(1469205, 564199.5)",-31,-0.171726054687869,183.1624877172208
2402866,Boynton Pl,local,paved,2,NA,132.0415,132.04149140557377,4404,4326,1496,"c(1468683, 564356)",1456,"c(1468626, 564274.5)",-40,-0.30293508180044315,137.96722600896277
2402864,Boynton Pl,local,paved,2,NA,66.8058,66.8057553722268,4421,4404,1505,"c(1468701.5, 564419.5)",1496,"c(1468683, 564356)",-9,-0.13471893177247984,67.40926457731021
2402843,Highpointe Pl,strata,paved,2,NA,181.2173,181.2172820725011,4157,4295,1363,"c(1468475.5, 564387)",1441,"c(1468606, 564501.5)",78,0.4304225243196943,197.29091038804708
2402847,Highpointe Lane,strata,paved,2,NA,141.022,141.0219698091095,4295,4262,1441,"c(1468606, 564501.5)",1423,"c(1468574, 564395.5)",-18,-0.1276396863862078,142.16608586031126
2647892,Parkbluff Lane,strata,paved,2,NA,146.7807,146.78070871620582,3752,3922,1101,"c(1468108, 564429)",1219,"c(1468249, 564419)",118,0.80392035869065,188.33102891247543
2647893,Eaglecrest Rd,strata,paved,2,NA,201.9445,201.9444679729924,3822,4016,1142,"c(1468162.5, 564435)",1279,"c(1468351, 564484.5)",137,0.6784043226097288,244.02985092995274
2647891,Eaglecrest Rd,strata,paved,2,NA,55.1828,55.18280727445695,3752,3822,1101,"c(1468108, 564429)",1142,"c(1468162.5, 564435)",41,0.7429850351049122,68.74694334070321
2647895,Pinehaven Crt,strata,paved,2,NA,199.2428,199.24279755195096,3815,3684,1137,"c(1468155.5, 564463.5)",1056,"c(1468048.5, 564616)",-81,-0.40653916224439635,215.07834009106477
2402842,Highpointe Dr,strata,paved,2,NA,101.1634,101.16342843060254,4371,4295,1479,"c(1468657, 564585)",1441,"c(1468606, 564501.5)",-38,-0.3756298159276774,108.06497698992787
2402844,Benzer Crt,local,paved,2,NA,15.2084,15.208429403604494,4371,4388,1479,"c(1468657, 564585)",1487,"c(1468672, 564581)",8,0.5260240743928462,17.184188224190915
2402845,Benzer Lane,strata,paved,2,NA,67.2125,67.21246060560892,4388,4410,1487,"c(1468672, 564581)",1498,"c(1468688.5, 564645)",11,0.1636601293999054,68.10664329315115
1895659,Lawson Ave,local,paved,2,NA,81.3724,81.3724362421864,3521,3612,962,"c(1467880.5, 562809.5)",1025,"c(1467961.5, 562816.5)",63,0.7742179404890244,102.91002565342548
2662799,Graham St,collector,paved,2,NA,52.5399,52.53987404819227,3587,3592,1008,"c(1467940.5, 563036.5)",1011,"c(1467945.5, 562984)",3,0.057099489756070716,52.62545358474269
2662802,NA,alleyway,loose,1,NA,205.6046,205.6045699710775,3592,3811,1011,"c(1467945.5, 562984)",1134,"c(1468150, 563002)",123,0.59823572996117,239.58764407412937
2662800,Graham St,collector,paved,2,NA,48.8425,48.84250154328893,3592,3597,1011,"c(1467945.5, 562984)",1014,"c(1467950, 562935.5)",3,0.06142191544675718,48.93454768367826
2507734,turning lane,yield,paved,1,NA,70.2719,70.27193764809961,3701,3743,1068,"c(1468059, 563526)",1093,"c(1468104.5, 563473)",25,0.3557607892526368,74.58649489564715
2585705,Clement Ave,collector,paved,2,NA,8.6902,8.690157938738793,3739,3755,1090,"c(1468100, 563522)",1103,"c(1468109, 563522.5)",13,1.4959451935906585,15.637098356160099
2585718,turning lane,yield,paved,1,NA,40.3626,40.36261848629281,3743,3759,1093,"c(1468104.5, 563473)",1104,"c(1468112, 563512)",11,0.2725293950821256,41.83468621933271
2675834,Clement Ave,collector,paved,2,NA,427.319,427.319001148774,4211,3748,1397,"c(1468528, 563467.5)",1098,"c(1468107.5, 563536.5)",-299,-0.6997114548994771,521.5386167320555
2585707,Okanagan Rail Trail,trail,paved,1,NA,13.6349,13.63487664037716,3755,3748,1103,"c(1468109, 563522.5)",1098,"c(1468107.5, 563536.5)",-5,-0.3667066546970749,14.52273600249976
2585720,Okanagan Rail Trail,trail,paved,1,NA,11.8742,11.874243336326288,3759,3755,1104,"c(1468112, 563512)",1103,"c(1468109, 563522.5)",-1,-0.0842158924721333,11.916276885432348
2585706,Clement Ave,collector,paved,2,NA,28.6306,28.63061377261412,3755,3796,1103,"c(1468109, 563522.5)",1125,"c(1468137.5, 563525)",22,0.7684082560969593,36.10695286224803
2585719,turning lane,yield,paved,1,NA,28.6033,28.60325170058145,3759,3796,1104,"c(1468112, 563512)",1125,"c(1468137.5, 563525)",21,0.7341822608082391,35.48444740793938
2662803,Gordon Dr,collector,paved,2,NA,54.7405,54.74048830612365,3807,3811,1132,"c(1468145.5, 563056.5)",1134,"c(1468150, 563002)",2,0.03653602775363379,54.777012149193204
2662804,Gordon Dr,collector,paved,2,NA,45.3306,45.33064740333459,3811,3814,1134,"c(1468150, 563002)",1136,"c(1468154, 562957)",2,0.04412026111616657,45.37474621422631
